data,UserID,product,quantity,price
2024-09-10,279,Хаги ваги,2,2338
2024-09-25,971,Дросель на приору,4,55374
2024-05-07,797,Персик,10,29710
2024-08-23,851,Ккус-Кус,7,15395
2024-09-01,422,Ккус-Кус,5,55385
2024-07-18,841,Чермондер синий,1,22902
2024-01-27,877,Редис,8,82713
2024-06-07,653,Ананас,5,8356
2024-04-01,316,Ккус-Кус,4,75652
2024-05-11,137,Гранат,5,52616
2024-02-21,540,Кукла венсдей,3,58569
2024-07-28,302,Хаги ваги,3,77363
2024-06-22,612,Радитор печки,3,64757
2024-11-10,533,Пахлава,8,36494
2024-12-22,855,Гранат,3,97208
2024-02-02,425,Кукуруза,7,23552
2024-10-25,590,Ккус-Кус,5,65540
2024-11-04,318,Кукуруза,7,78717
2024-03-05,966,Гранат,3,43349
2024-02-26,109,Радитор печки,5,23548
2024-09-19,214,очиститель белого,2,1525
2024-02-02,334,Пахлава,9,29753
2024-08-13,696,Гранат,2,26193
2024-08-27,640,Персик,5,82369
2024-10-02,490,Чермондер синий,9,57544
2024-03-21,603,Ккус-Кус,6,97971
2024-02-08,564,Ананас,3,84386
2024-12-13,281,Ккус-Кус,4,21878
2024-03-26,738,Арбуз,9,41256
2024-09-18,356,Пахлава,10,45041
2024-09-14,969,Арбуз,3,11806
2024-04-21,760,Чермондер синий,5,29406
2024-08-16,677,Ананас,4,65558
2024-06-06,982,Редис,4,22386
2024-06-01,782,Ананас,10,71679
2024-08-16,704,Гранат,9,87843
2024-11-17,750,Кукуруза,8,33865
2024-05-01,934,Ккус-Кус,10,44227
2024-01-06,492,Дросель на приору,5,41324
2024-07-02,674,Редис,3,99478
2024-10-10,673,Ананас,5,12822
2024-10-06,750,Плакат Луффи,2,26770
2024-01-26,12,Пахлава,7,28596
2024-11-04,344,Гранат,5,52550
2024-10-10,70,Арбуз,4,34216
2024-08-18,390,Персик,7,22341
2024-10-10,489,Кукуруза,7,85509
2024-12-18,885,Плакат Луффи,1,3714
2024-10-18,538,Кукуруза,5,61812
2024-08-26,113,Кукла венсдей,5,78627
2024-05-24,424,Гранат,9,54951
2024-11-16,336,Радитор печки,5,35365
2024-05-04,661,Плакат Луффи,4,82582
2024-05-20,758,Кукуруза,8,58159
2024-04-23,53,Гранат,4,47289
2024-09-01,730,Радитор печки,6,52937
2024-03-28,39,Пахлава,4,96382
2024-02-04,647,Че попальная вещь,3,63171
2024-12-03,130,Кукуруза,6,10902
2024-11-08,189,Редис,8,73592
2024-06-19,870,Ккус-Кус,3,5397
2024-12-17,851,Персик,10,72966
2024-10-19,313,очиститель белого,6,91902
2024-08-12,211,Ккус-Кус,3,77996
2024-09-16,55,Дросель на приору,4,80480
2024-01-26,777,Ккус-Кус,4,7277
2024-10-22,323,Чермондер синий,8,42562
2024-02-28,525,Гранат,6,67789
2024-01-16,226,Кукуруза,2,63028
2024-09-12,84,Арбуз,5,43371
2024-05-25,38,Кукуруза,1,34591
2024-09-22,673,Ананас,2,26385
2024-07-21,831,Персик,10,42550
2024-02-08,464,Дросель на приору,6,2129
2024-07-27,761,Че попальная вещь,10,14944
2024-11-01,273,Че попальная вещь,6,81294
2024-01-27,126,Хаги ваги,3,57569
2024-07-21,287,Че попальная вещь,4,21525
2024-09-14,189,Арбуз,9,21066
2024-06-11,59,Плакат Луффи,5,32678
2024-03-12,149,Дросель на приору,8,94258
2024-11-18,83,Редис,1,69055
2024-06-14,66,Плакат Луффи,3,45887
2024-03-13,288,Ккус-Кус,3,25301
2024-04-16,39,Редис,4,18614
2024-01-26,880,Гранат,6,20924
2024-06-28,377,Радитор печки,6,84977
2024-10-03,805,Гранат,5,98917
2024-06-02,469,Радитор печки,2,20215
2024-02-25,157,Че попальная вещь,8,98652
2024-06-03,238,Дросель на приору,10,56605
2024-09-25,789,Цинкарь,3,92112
2024-09-18,576,Редис,7,23457
2024-01-21,650,Дросель на приору,3,15994
2024-04-18,445,Пахлава,9,26496
2024-12-24,349,Хаги ваги,7,31057
2024-01-27,106,Ананас,3,17814
2024-07-05,624,Радитор печки,8,82664
2024-11-05,233,Дросель на приору,3,44722
2024-08-24,996,Кукуруза,10,1467
2024-01-12,946,Цинкарь,3,31396
2024-09-27,158,Пахлава,7,32241
2024-05-21,23,Плакат Луффи,10,33069
2024-03-03,941,Радитор печки,3,7614
2024-07-02,810,Ккус-Кус,2,37457
2024-05-01,630,Редис,1,13466
2024-08-07,255,Кукуруза,7,14570
2024-01-20,166,Ккус-Кус,10,70041
2024-07-06,69,Хаги ваги,7,69320
2024-01-28,736,Дросель на приору,5,26965
2024-05-14,63,Цинкарь,6,49872
2024-01-09,943,Кукла венсдей,9,21095
2024-11-06,282,Кукуруза,5,83921
2024-02-12,653,Редис,10,94566
2024-04-09,626,Хаги ваги,10,27968
2024-02-14,103,Цинкарь,4,46222
2024-06-05,641,Че попальная вещь,3,38821
2024-09-15,879,Радитор печки,3,29203
2024-03-02,146,Ккус-Кус,1,11274
2024-01-23,141,Пахлава,7,23755
2024-02-26,22,Чермондер синий,5,97610
2024-11-11,206,Арбуз,4,29312
2024-08-01,420,Радитор печки,5,31345
2024-02-07,383,Чермондер синий,5,53457
2024-02-17,467,Кукуруза,9,16727
2024-07-06,537,Дросель на приору,1,67800
2024-06-20,76,Цинкарь,5,71178
2024-04-13,267,Кукуруза,9,76184
2024-03-01,686,Плакат Луффи,7,27549
2024-04-21,350,Хаги ваги,7,33774
2024-04-26,345,Персик,8,96759
2024-07-04,567,Гранат,9,1492
2024-11-25,124,Кукуруза,8,91531
2024-08-28,436,Че попальная вещь,5,14832
2024-09-26,265,Редис,3,6603
2024-02-23,72,Радитор печки,3,59832
2024-07-26,583,Радитор печки,2,3575
2024-03-03,525,Дросель на приору,8,43908
2024-06-15,812,Пахлава,1,71421
2024-11-07,150,Чермондер синий,8,10457
2024-07-16,376,Цинкарь,8,41190
2024-11-16,694,Плакат Луффи,2,78497
2024-12-22,152,Дросель на приору,4,63318
2024-08-13,567,Цинкарь,10,32685
2024-10-27,67,Кукла венсдей,9,39615
2024-05-26,33,Арбуз,3,60373
2024-05-13,426,Радитор печки,4,57841
2024-09-11,519,Радитор печки,4,34755
2024-09-23,924,Кукла венсдей,7,63356
2024-11-17,250,Радитор печки,1,65615
2024-11-18,906,Ананас,1,67420
2024-09-09,632,Ананас,3,48322
2024-03-07,908,Плакат Луффи,10,97423
2024-02-11,767,очиститель белого,7,20361
2024-06-11,142,Арбуз,7,61914
2024-12-03,512,Пахлава,8,77310
2024-08-07,619,Ккус-Кус,2,26208
2024-05-26,324,Арбуз,5,25265
2024-12-12,492,Чермондер синий,1,23688
2024-05-13,549,Пахлава,10,95013
2024-09-09,961,Арбуз,5,80382
2024-02-21,715,Пахлава,10,40672
2024-02-25,430,Ккус-Кус,3,12461
2024-02-07,615,Арбуз,9,44417
2024-05-28,406,Ананас,7,92032
2024-05-19,897,Кукуруза,10,71927
2024-02-21,253,Дросель на приору,2,87272
2024-03-12,901,очиститель белого,10,8795
2024-10-10,575,Редис,4,78651
2024-09-28,309,Дросель на приору,4,52637
2024-01-07,848,очиститель белого,5,33074
2024-10-27,519,Персик,7,49938
2024-10-07,750,Редис,1,54402
2024-02-23,976,Чермондер синий,7,93528
2024-10-06,938,Ананас,7,34217
2024-02-05,501,Пахлава,10,76053
2024-01-19,609,Кукуруза,2,54224
2024-01-21,790,Чермондер синий,1,39313
2024-03-05,839,Чермондер синий,7,49478
2024-10-04,884,Кукуруза,8,23500
2024-02-17,580,Радитор печки,10,10315
2024-12-12,670,Кукуруза,2,36487
2024-11-04,211,Че попальная вещь,10,63302
2024-08-13,225,Персик,6,14402
2024-04-25,813,Кукла венсдей,2,12540
2024-01-19,34,Плакат Луффи,7,13435
2024-07-09,252,Радитор печки,10,20304
2024-06-13,359,Редис,9,89697
2024-11-02,817,очиститель белого,2,24635
2024-10-12,132,Хаги ваги,10,78694
2024-01-20,539,Цинкарь,7,8310
2024-07-24,600,Персик,10,42350
2024-12-23,553,Ананас,9,79606
2024-02-03,126,Радитор печки,1,64780
2024-09-18,774,Цинкарь,4,56999
2024-08-04,808,Арбуз,9,66126
2024-04-24,18,Ккус-Кус,5,57079
2024-09-03,4,Кукла венсдей,6,34054
2024-11-08,729,Че попальная вещь,8,59705
2024-04-12,751,Ананас,10,743
2024-03-15,574,Чермондер синий,8,95880
2024-05-16,874,Гранат,4,77122
2024-04-20,104,Че попальная вещь,8,32436
2024-03-19,675,Кукуруза,10,95035
2024-06-18,263,Плакат Луффи,1,12314
2024-04-26,536,Кукуруза,10,18642
2024-08-28,83,Чермондер синий,9,24670
2024-05-03,248,Че попальная вещь,4,69875
2024-03-28,439,Радитор печки,2,88654
2024-06-10,381,Гранат,3,27012
2024-01-13,703,Персик,5,72392
2024-11-19,166,Арбуз,1,78192
2024-01-02,137,Арбуз,1,70460
2024-02-11,976,Ккус-Кус,2,77045
2024-07-17,138,Пахлава,2,14514
2024-11-11,545,Ананас,1,99849
2024-10-21,707,Кукуруза,2,98553
2024-01-12,114,очиститель белого,10,83468
2024-06-08,759,Арбуз,2,8811
2024-04-21,824,Гранат,1,8663
2024-06-19,42,Гранат,1,36104
2024-09-15,747,очиститель белого,7,73390
2024-09-18,787,Ананас,1,84200
2024-06-06,989,Радитор печки,7,4291
2024-10-16,36,Дросель на приору,9,23590
2024-04-14,399,Кукуруза,1,79536
2024-03-20,647,Кукуруза,10,70568
2024-03-28,227,Че попальная вещь,5,52667
2024-04-04,269,Радитор печки,5,38533
2024-05-23,296,Арбуз,2,59159
2024-12-13,150,Че попальная вещь,3,6740
2024-05-06,23,Плакат Луффи,10,81885
2024-05-25,749,Дросель на приору,7,66352
2024-06-04,11,Персик,10,91440
2024-09-10,239,Ананас,7,92101
2024-04-16,589,Гранат,3,44196
2024-03-13,98,Редис,10,19771
2024-02-26,962,Че попальная вещь,7,46208
2024-08-08,840,Че попальная вещь,6,36677
2024-10-25,641,Редис,3,26010
2024-01-02,13,Плакат Луффи,2,14793
2024-12-16,865,Че попальная вещь,8,24926
2024-12-04,459,Чермондер синий,9,1853
2024-04-27,758,Дросель на приору,10,94433
2024-01-25,476,Ккус-Кус,5,62487
2024-07-26,648,Кукла венсдей,9,52818
2024-02-19,48,Кукла венсдей,6,91621
2024-08-19,764,Редис,1,6455
2024-04-15,95,Кукуруза,2,17478
2024-11-28,70,Кукла венсдей,3,20325
2024-04-01,263,Кукуруза,1,84107
2024-11-12,512,Персик,8,76072
2024-07-11,989,Арбуз,3,2364
2024-04-21,737,очиститель белого,8,79377
2024-08-06,37,Редис,9,4012
2024-02-08,116,Плакат Луффи,9,51587
2024-01-08,938,Че попальная вещь,2,68813
2024-07-04,952,Персик,7,33487
2024-02-18,820,Персик,1,5055
2024-10-06,179,Кукла венсдей,6,68240
2024-03-04,21,очиститель белого,3,52946
2024-04-08,544,Дросель на приору,7,78874
2024-04-04,942,Ананас,9,84486
2024-01-02,685,Редис,1,37834
2024-09-15,827,Кукла венсдей,4,86185
2024-03-26,700,Редис,2,29865
2024-09-02,721,Плакат Луффи,1,28160
2024-11-05,441,Цинкарь,1,96323
2024-12-10,502,Че попальная вещь,9,50741
2024-06-08,533,Дросель на приору,4,16843
2024-08-08,670,Пахлава,3,12325
2024-09-07,694,Ананас,10,8684
2024-05-01,834,Плакат Луффи,4,42016
2024-09-17,312,Хаги ваги,2,19769
2024-05-26,918,Гранат,6,58973
2024-06-24,700,Плакат Луффи,5,510
2024-11-06,948,Цинкарь,4,6276
2024-08-06,303,Дросель на приору,6,41128
2024-07-27,480,Ккус-Кус,1,33449
2024-07-09,221,Персик,2,86354
2024-09-13,549,Кукуруза,5,98625
2024-01-15,754,Радитор печки,5,91087
2024-07-16,731,Цинкарь,7,37085
2024-10-14,83,Кукуруза,9,45854
2024-12-24,512,Кукуруза,5,5604
2024-06-19,457,Ананас,6,87592
2024-03-21,945,Ккус-Кус,3,79945
2024-06-24,711,Плакат Луффи,9,75361
2024-12-17,200,Арбуз,10,24896
2024-04-27,141,Гранат,6,3279
2024-09-25,963,Персик,8,70502
2024-10-02,920,Ананас,2,45688
2024-04-28,93,Пахлава,8,3929
2024-01-17,372,Персик,8,56289
2024-10-15,395,Кукла венсдей,7,20995
2024-02-25,700,Ананас,7,38882
2024-01-28,30,Цинкарь,7,23935
2024-11-01,929,Редис,10,22987
2024-05-18,800,Ананас,9,59430
2024-12-18,351,Хаги ваги,4,83765
2024-10-06,539,Че попальная вещь,2,15989
2024-07-14,134,Ананас,4,72920
2024-07-03,807,очиститель белого,4,73541
2024-01-05,691,Редис,9,74423
2024-03-19,647,Персик,5,22265
2024-12-23,26,очиститель белого,3,78113
2024-09-03,732,Цинкарь,6,60037
2024-11-16,743,Хаги ваги,5,53569
2024-12-16,687,Кукуруза,1,75797
2024-06-06,749,очиститель белого,7,22406
2024-12-04,856,Хаги ваги,4,71818
2024-06-22,6,Чермондер синий,8,45074
2024-05-02,337,Радитор печки,5,94706
2024-11-15,529,Хаги ваги,3,90277
2024-07-24,388,Хаги ваги,1,56815
2024-03-26,262,Цинкарь,3,45059
2024-10-13,555,Плакат Луффи,9,35701
2024-10-01,256,Цинкарь,10,68416
2024-10-07,464,Чермондер синий,6,99570
2024-10-14,299,Чермондер синий,3,40807
2024-06-17,834,Дросель на приору,4,23702
2024-01-15,163,Кукла венсдей,1,88027
2024-04-05,75,Дросель на приору,2,31737
2024-04-28,904,Редис,10,78689
2024-08-28,19,Ккус-Кус,3,80683
2024-10-09,419,Редис,2,61415
2024-01-15,695,Кукуруза,3,18579
2024-04-07,920,Персик,7,41377
2024-05-22,836,Цинкарь,4,48443
2024-02-27,383,Редис,10,5047
2024-02-22,365,Гранат,10,74119
2024-06-17,675,очиститель белого,8,26108
2024-10-14,957,Радитор печки,6,40032
2024-08-19,420,Дросель на приору,9,63288
2024-04-16,253,Ккус-Кус,4,94530
2024-04-17,175,Кукуруза,2,64875
2024-07-12,998,Ккус-Кус,5,24620
2024-09-27,140,Кукла венсдей,7,13875
2024-04-10,896,Ккус-Кус,3,21956
2024-02-04,648,очиститель белого,3,93663
2024-05-08,720,Че попальная вещь,10,14520
2024-08-15,919,Хаги ваги,3,28743
2024-08-21,793,Цинкарь,10,15864
2024-05-25,647,Чермондер синий,7,87956
2024-12-24,196,Кукуруза,9,81995
2024-07-11,76,Плакат Луффи,4,8989
2024-01-08,695,Плакат Луффи,4,31460
2024-05-08,189,Цинкарь,5,97373
2024-05-11,649,Ккус-Кус,8,40660
2024-07-03,978,Че попальная вещь,2,70333
2024-11-13,445,очиститель белого,3,52221
2024-07-19,304,Кукла венсдей,4,99192
2024-08-06,65,Че попальная вещь,5,9378
2024-07-04,863,очиститель белого,7,78600
2024-04-26,397,Персик,7,52887
2024-03-23,303,Арбуз,8,22639
2024-03-12,105,Цинкарь,7,12230
2024-02-24,211,Ккус-Кус,8,81765
2024-05-28,945,Ананас,10,92492
2024-03-28,748,Чермондер синий,10,17675
2024-07-09,411,Радитор печки,6,7359
2024-06-03,91,Че попальная вещь,5,72460
2024-10-20,996,Арбуз,6,62484
2024-11-05,224,Пахлава,7,28063
2024-12-04,107,Плакат Луффи,7,10670
2024-02-07,251,Ананас,7,74955
2024-05-12,211,Плакат Луффи,4,42660
2024-06-18,603,Кукла венсдей,2,92475
2024-11-08,74,Че попальная вещь,5,42607
2024-05-02,329,Чермондер синий,5,11370
2024-06-08,739,Гранат,10,86845
2024-04-16,988,Ккус-Кус,10,1344
2024-11-26,767,Арбуз,3,24452
2024-03-06,862,Радитор печки,6,61219
2024-09-22,284,Пахлава,4,80629
2024-06-13,180,Че попальная вещь,2,66357
2024-04-22,586,очиститель белого,2,56018
2024-08-24,206,Дросель на приору,9,4645
2024-08-15,397,Радитор печки,3,55957
2024-02-09,667,Кукуруза,6,26347
2024-11-24,677,Чермондер синий,2,44026
2024-04-14,237,Кукла венсдей,1,6977
2024-11-02,36,Редис,8,83506
2024-06-23,920,Персик,8,55868
2024-11-27,72,Кукуруза,10,19846
2024-06-25,284,Гранат,10,43435
2024-06-22,18,Кукла венсдей,2,14908
2024-02-27,477,Хаги ваги,4,17207
2024-07-27,983,Радитор печки,4,81977
2024-09-08,221,Гранат,2,36568
2024-09-12,682,Радитор печки,7,19216
2024-08-16,8,Ананас,5,66985
2024-10-26,927,Радитор печки,2,8909
2024-07-27,790,Арбуз,8,9183
2024-07-28,720,Хаги ваги,4,31143
2024-08-23,365,Арбуз,10,36546
2024-12-12,321,Арбуз,1,21631
2024-03-10,478,Ананас,8,16817
2024-11-07,526,Плакат Луффи,10,35050
2024-04-05,276,Персик,8,4651
2024-12-25,343,Редис,9,3274
2024-08-12,155,Че попальная вещь,8,13728
2024-11-25,375,Персик,7,71618
2024-11-08,750,Редис,2,58689
2024-04-04,576,Че попальная вещь,9,542
2024-06-12,746,Чермондер синий,6,99290
2024-05-17,638,Гранат,7,92577
2024-07-02,785,Радитор печки,1,5307
2024-04-09,637,Гранат,10,39501
2024-06-27,796,Радитор печки,1,15243
2024-03-25,783,Редис,10,65762
2024-06-26,349,Че попальная вещь,2,27241
2024-11-01,298,Цинкарь,5,61095
2024-04-05,31,Радитор печки,2,95815
2024-07-04,659,Хаги ваги,1,30931
2024-04-28,956,Радитор печки,10,73975
2024-12-26,713,Редис,7,90322
2024-08-06,287,Хаги ваги,2,23371
2024-12-08,66,Пахлава,8,10457
2024-03-01,145,Персик,8,32008
2024-04-09,282,Арбуз,2,53357
2024-05-06,375,Кукла венсдей,9,83721
2024-10-19,176,Плакат Луффи,8,9247
2024-11-06,207,Хаги ваги,4,51254
2024-10-07,553,Пахлава,7,62933
2024-05-12,668,Редис,2,98688
2024-04-23,280,Ананас,1,62279
2024-10-06,280,Гранат,5,17970
2024-09-02,480,Персик,1,37536
2024-03-09,373,Ккус-Кус,3,52307
2024-02-08,523,Цинкарь,6,53822
2024-10-10,134,Кукуруза,1,65894
2024-02-02,347,Пахлава,1,93547
2024-11-01,391,Пахлава,10,53025
2024-06-23,518,Че попальная вещь,8,5511
2024-11-21,270,Радитор печки,6,58871
2024-11-23,450,Персик,6,92822
2024-11-23,667,Че попальная вещь,8,47720
2024-12-16,280,Ананас,3,36517
2024-03-26,556,Плакат Луффи,9,55294
2024-07-23,32,Чермондер синий,1,43204
2024-03-05,850,Кукла венсдей,6,33559
2024-04-09,88,Персик,5,87671
2024-01-05,159,Дросель на приору,6,55991
2024-10-27,169,Плакат Луффи,2,34183
2024-01-13,794,Ккус-Кус,10,768
2024-08-23,376,Плакат Луффи,5,9323
2024-03-05,292,Персик,5,66178
2024-03-21,388,Арбуз,1,95743
2024-04-22,304,Пахлава,2,97127
2024-04-18,742,Арбуз,7,49512
2024-12-11,383,Кукуруза,6,69278
2024-04-26,337,Редис,9,80561
2024-01-16,467,Арбуз,2,36289
2024-06-24,929,Че попальная вещь,6,91388
2024-02-23,616,Персик,2,70176
2024-07-25,847,Ананас,1,3129
2024-05-22,923,Редис,7,10726
2024-04-25,117,Чермондер синий,3,93181
2024-03-06,338,Редис,7,65672
2024-10-08,283,Кукла венсдей,5,89499
2024-08-25,389,Че попальная вещь,7,59451
2024-05-17,668,Плакат Луффи,1,33032
2024-12-21,898,Пахлава,3,76749
2024-01-26,895,Дросель на приору,3,90197
2024-11-24,421,Ананас,5,85536
2024-05-20,880,Ананас,7,38895
2024-06-19,460,Ккус-Кус,10,62037
2024-02-02,703,Цинкарь,10,49532
2024-03-21,977,Цинкарь,9,46356
2024-10-27,778,Цинкарь,7,70550
2024-03-08,357,Пахлава,2,41147
2024-11-18,714,Хаги ваги,4,96881
2024-08-02,8,Дросель на приору,6,20128
2024-11-22,852,Кукуруза,6,16374
2024-11-15,929,Кукла венсдей,10,8168
2024-02-10,737,Чермондер синий,8,41081
2024-02-16,422,Редис,7,34789
2024-04-25,307,Кукуруза,5,33351
2024-09-13,16,Гранат,6,14725
2024-03-25,287,Цинкарь,6,12430
2024-01-15,963,Арбуз,1,21132
2024-02-23,128,Че попальная вещь,4,81726
2024-06-03,202,Кукуруза,9,35276
2024-10-03,130,Че попальная вещь,9,26620
2024-08-23,910,Цинкарь,10,37787
2024-09-18,797,Персик,1,64512
2024-04-28,561,Чермондер синий,3,18156
2024-05-08,290,Арбуз,2,27802
2024-01-04,580,Ккус-Кус,4,64860
2024-06-06,558,Кукла венсдей,4,86593
2024-08-26,629,Редис,9,86521
2024-05-13,421,Кукла венсдей,5,14204
2024-04-25,993,Пахлава,4,79744
2024-07-22,110,Редис,6,86094
2024-03-28,474,Ккус-Кус,10,56096
2024-10-09,340,Че попальная вещь,2,38709
2024-04-27,498,Гранат,6,29402
2024-03-08,485,Ккус-Кус,1,12789
2024-02-15,637,Пахлава,7,63285
2024-11-08,361,очиститель белого,8,15304
2024-07-21,256,Гранат,3,8095
2024-09-15,141,Пахлава,9,67345
2024-11-28,286,Пахлава,2,58803
2024-09-21,749,Персик,4,7822
2024-04-22,518,Радитор печки,3,3854
2024-10-22,419,Цинкарь,4,27154
2024-05-09,529,Ккус-Кус,9,34826
